step_id	command_or_source	inputs	outputs	status
human.jorstad.download	01_data_processing/00_human_snrna_discovery/00_download_jorstad_cellxgene.R	CELLxGENE collection d17249d2-0e6e-4500-abb8-e6c93fa1ac6f	Five H5AD assets plus SOURCE_CHECKSUMS.tsv	EXECUTABLE_DYNAMIC_MANIFEST
human.wei.record	01_data_processing/00_human_snrna_discovery/00_record_wei_stomics_manifest.py	STOMICS API listing for STDS0000242	69-row provider receipt selecting STDF000000000022418 as human_cnmf_input	READY_FOR_MANUAL_PROVIDER_RECEIPT
human.merge	01_data_processing/00_human_snrna_discovery/01_prepare_jorstad_wei.py	SOURCE_CHECKSUMS.tsv; materialized STDF000000000022418 H5AD with byte/SHA256 receipt; blacklist	Raw-UMI merged human H5AD	MANUAL_PROVIDER_ACCESS_REQUIRED
human.cnmf	01_data_processing/00_human_snrna_discovery/02_run_cnmf_discovery.py	Raw-UMI merged human H5AD; config/cnmf_discovery.yaml	100-replicate K sweep; K60 package-native outputs	READY_AFTER_HUMAN_MERGE
fig5.retained_programs	02_main_figures/Fig5/source/figB_large.R	program_renumber_map.tsv; source 60-component association arrays	Retained 54-program Fig. 5 panels with explicit provenance mapping	READY_AFTER_ASSOCIATION_OUTPUTS
figs3.retained_programs	03_supplementary_figures/FigS3/source/01_program_batch_check.py	Retained map; released programs_master.tsv	54-row cohort and batch quality-control figure	EXTERNAL_RELEASE_SUMMARY_REQUIRED
figs5.retained_programs	03_supplementary_figures/FigS5/source/00_build_released_summary_inputs.py;03_supplementary_figures/FigS5/source/01_cluster_confusion.py;03_supplementary_figures/FigS5/source/02_render.py	Retained map; released subclass summary; canonical cell and spatial parquet inputs	22 by 54 released-summary panel and retained-program identity-validation composite	EXTERNAL_RELEASE_SUMMARY_AND_CANONICAL_PARQUETS_REQUIRED
figs6.retained_programs	03_supplementary_figures/FigS6/source/analysis/xregion_m1_expression_auroc.py;03_supplementary_figures/FigS6/source/analysis/xregion_m2a_spatial_auroc.py;03_supplementary_figures/FigS6/source/analysis/xregion_m2b_coactivation_auroc.py;03_supplementary_figures/FigS6/source/analysis/xregion_m3_distance_curve.py;03_supplementary_figures/FigS6/source/analysis/xregion_m4_rewiring_filter.py;03_supplementary_figures/FigS6/source/analysis/xregion_fig_prep.py;03_supplementary_figures/FigS6/source/analysis/xregion_panels.R;03_supplementary_figures/FigS6/source/compose/compose_svgutils.py	Retained map; region-subclass mean; canonical cell parquet; spatial score parquet; program-pair median/IQR table	Retained-program cross-region AUROC composite	CANONICAL_DERIVED_INPUTS_REQUIRED
figs8.retained_programs	03_supplementary_figures/FigS8/source/02_by_region.py	Retained map; canonical region_tensor_all.npz; chip map	14-region, 10-ring, 54 by 54 retained-program spatial cross-correlation figure	CANONICAL_DERIVED_INPUTS_REQUIRED
fig6.panel_a	02_main_figures/Fig6/source/fig10_panelA.R	Missing checksumed decay_per_program_full.csv and producer	panelA_pairs_long.csv; panelA_medians.csv; panel a SVG	BLOCKED_MISSING_INPUT_PRODUCER
human.cnmf.export	01_data_processing/00_human_snrna_discovery/03_export_cnmf_outputs.py	cNMF consensus output	gene_spectra_score; gene_spectra_tpm; consensus usages; downstream_outputs.json	READY_AFTER_CNMF
mouse.download	01_data_processing/00_mouse_snrna_preprocessing/00_fetch_macosko_nemo_bag.sh	NeMO Raw_10x BDBag nemo:dat-y5zxh0y	Validated BDBag receipt and, when requested, 1068 raw FASTQ payloads	READY_FOR_BDBAG_DOWNLOAD
mouse.subset	01_data_processing/00_mouse_snrna_preprocessing/00_fix_subset_mouse.py	Reconstructed Macosko H5AD and matching brain_struct metadata	761378-nucleus CSR H5AD	BLOCKED_H5AD_METADATA_RECONSTRUCTION
spatial.wei.record	01_data_processing/00_human_snrna_discovery/00_record_wei_stomics_manifest.py	STOMICS API listing for STDS0000242	44 provider records with role spatial_cellbin_h5ad	READY_FOR_MANUAL_PROVIDER_RECEIPT
spatial.bin50	01_data_processing/02_spatial_preprocessing/00_bin_spatial_counts.py	Materialized Wei spatial H5AD records with verified domain TSV	Bin50 H5AD	MANUAL_PROVIDER_ACCESS_AND_DOMAIN_METADATA_REQUIRED
spatial.rctd_objects	01_data_processing/02_spatial_preprocessing/01_convert_h5ad_to_h5seurat.R;02_prepare_rctd_objects.R	Bin50 H5AD; reference H5AD	H5Seurat and RCTD reference/spatial RDS objects	READY_AFTER_SPATIAL_BIN50
spatial.rctd	01_data_processing/02_spatial_preprocessing/02_run_rctd.R	RCTD reference/spatial RDS objects	RCTD result RDS	READY_AFTER_RCTD_OBJECTS
han.sections	01_data_processing/02_spatial_preprocessing/03_validate_han_sections.py	Manual provider section receipt with exact IDs, paths, and SHA256	Validated Han section receipt	MANUAL_PROVIDER_ACCESS_EXACT_SECTION_OBJECT_REQUIRED
crossspecies.macaque	01_data_processing/02_spatial_preprocessing/00_validate_chen_provider_files.py;04_prepare_chen_macaque.py	Manual provider Chen files; ortholog TSV; K60 spectra	Validated snRNA receipt and region-level macaque program scores	MANUAL_PROVIDER_ACCESS_REQUIRED
final.assets	final_asset_map.tsv	Derived outputs from upstream analysis stages	Numbered figures, tables, and supplementary data	MIXED_SEE_FINAL_ASSET_MAP
